ID,BulkDensity_ml,BDDepth,Wood_chunks_inFF,Black_C_wgt_inFF,ForFloor_DryWgt,Litter_DryWgt,MinSoil_TinWgt,MinSoilAll_DryWgt,Coarse_frag_weight_W_tin,Root_wgt_inMin,Black_C_wgt_inMin,Litter_Wgt_inMin,MinSoil_N_PC,MinSoil_C_PC,MinSoil_Sand_PC_hyd,MinSoil_Silt_PC_hyd,MinSoil_Clay_PC_hyd,MinSoil_Sand_PC_h202_hyd,MinSoil_Silt_PC_h202_hyd,MinSoil_Clay_PC_h202_hyd,Litter_N_PC,Litter_C_PC,Litter_S_PC,ForFloor_N_PC,ForFloor_C_PC,ForFloor_S_PC
FR61,1100,0.2,10.4,0,137.1,107.1,17.5,1529.1,1002.5,6.236,2.561,0.022,0.104268126,3.047491789,NA,NA,NA,49,39,13,0.48,48,0.041,1.1,42,0.09
FR62,1000,0.2,20.2,6.8,141.4,108.7,17.9,1399.7,809,6.838,1.865,0.027,0.115325727,3.150703669,NA,NA,NA,43,43,15,0.73,47,0.065,1,43,0.085
FR63,NA,NA,0.9,3.825,93.6,131.6,17.8,1689,957.1,9.281,0.315,0.103,0.144155279,4.356401443,NA,NA,NA,34,53,14,0.87,47,0.075,1.1,39,0.095
FR64,1000,0.2,9.3,0,161,102.3,18,1196.8,29.1,2.648,0.129,0.003,0.043186095,1.054373264,26,61,13,NA,NA,NA,0.71,49,0.061,1.1,44,0.08
FR65,1250,0.2,13.6,2.2,242.1,86.3,17.9,1460.2,1083.8,7.314,3.111,0.046,0.220206961,7.109255314,NA,NA,NA,50,38,13,0.85,49,0.065,1.1,44,0.084
FR66,1000,0.2,71.9,23.9,433,139,17.8,1150.2,249.5,1.51,0.789,0.064,0.075062178,2.007921219,43,46,11,NA,NA,NA,0.53,49,0.048,0.94,48,0.072
FR67,950,0.2,16.6,2.614,165.5,123.9,17.8,1183.4,525.5,6.4,1.41,0.014,0.070512153,1.942811251,50,40,10,NA,NA,NA,0.82,49,0.069,0.81,42,0.067
FR68,1250,0.2,5.8,0.419,162.2,156.1,17.7,1278.2,675.2,10.486,3.098,0.023,0.128059521,4.524844646,NA,NA,NA,48,43,10,0.95,48,0.078,1.4,46,0.11
FR69,900,0.2,115.5,129.6,673.3,115.8,17.6,1015.1,17.7,1.958,0.513,0.002,0.072114244,2.053536892,8.8,78,14,NA,NA,NA,0.61,49,0.044,0.77,46,0.06
FR70,1100,0.2,6.3,0,91.4,81.8,17.8,809.5,147.5,3.045,3.124,0.022,0.107715033,4.208698273,NA,NA,NA,19,66,15,0.51,49,0.044,1.1,42,0.079
FR71,850,0.16,81.9,0,862.7,214.8,17.7,962.5,398.5,10.433,0.997,0.015,0.230670527,3.856557608,NA,NA,NA,38,53,10,1.3,47,0.096,1.8,44,0.17
FR72,1200,0.2,27.1,5.289,50.5,442,17.8,1070.1,383.6,2.656,3.685,0.001,0.129991993,4.344733715,NA,NA,NA,68,25,7.5,0.29,47,0.029,0.78,42,0.06
FR73,1050,0.2,57.3,3.1,250.1,145.8,17.5,794.7,133.4,3.051,2.682,0,0.126977578,3.657613516,NA,NA,NA,39,46,15,0.88,44,0.086,0.95,37,0.092
FR74,1100,0.2,28.9,1.936,258.4,157,18,1125.5,464.4,6.07,1.302,0.023,0.10756243,3.701308727,NA,NA,NA,71,21,7.5,0.96,48,0.08,1,40,0.097
FR75,900,0.2,0.9,0.099,85.7,85.4,17.9,1009.4,427.9,2.026,1.138,0.005,0.119908333,3.144177914,NA,NA,NA,48,41,11,0.85,47,0.074,1,36,0.097
