Plot,Line #,Bearing (deg),Slope 1 (%),Slope dist. 1,Slope 2 (%),Slope dist. 2,Slope 3 (%),Slope dist. 3,Slope 4 (%),Slope dist. 4,Horizontal_dist,%slope1/100,squared,plus 1,square root,HD of segment 1,,%slope2/100,squared,plus 1,square root,HD of segment 2,,%slope3/100,squared,plus 1,square root,HD of segment 3,,%slope4/100,squared,plus 1,square root,HD of segment 4,,Horizontal distance: adj. line length
FR16,2,250,9,50,,,,,,,,0.09,0.0081,1.0081,1.004041832,49.79872194,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.79872194
FR17,1,220,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR17,2,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR18,1,150,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR18,2,240,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR19,1,340,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR19,2,250,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR20,1,70,35,50,,,,,,,,0.35,0.1225,1.1225,1.059481005,47.19291782,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.19291782
FR20,2,290,40,15,0,18,12,17,,,,0.4,0.16,1.16,1.077032961,13.92715036,,0,0,1,1,18,,0.12,0.0144,1.0144,1.007174265,16.87890625,,0,0,1,1,0,,48.80605662
FR21,1,360,15,50,,,,,,,,0.15,0.0225,1.0225,1.011187421,49.44681764,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.44681764
FR21,2,270,7,50,,,,,,,,0.07,0.0049,1.0049,1.002447006,49.87794836,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.87794836
FR22,1,80,7,50,,,,,,,,0.07,0.0049,1.0049,1.002447006,49.87794836,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.87794836
FR22,2,170,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR23,1,230,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR23,2,50,6,50,,,,,,,,0.06,0.0036,1.0036,1.001798383,49.91024227,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.91024227
FR24,1,340,24,50,,,,,,,,0.24,0.0576,1.0576,1.028396811,48.6193651,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.6193651
FR24,2,250,12,38,45,12,,,,,,0.12,0.0144,1.0144,1.007174265,37.72931986,,0.45,0.2025,1.2025,1.09658561,10.94305806,,0,0,1,1,0,,0,0,1,1,0,,48.67237792
FR25,1,320,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR25,2,50,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR26,1,250,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR26,2,160,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR27,1,10,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR27,2,100,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR28,1,290,0,35,9,15,,,,,,0,0,1,1,35,,0.09,0.0081,1.0081,1.004041832,14.93961658,,0,0,1,1,0,,0,0,1,1,0,,49.93961658
FR28,2,80,0,46,9,4,,,,,,0,0,1,1,46,,0.09,0.0081,1.0081,1.004041832,3.983897755,,0,0,1,1,0,,0,0,1,1,0,,49.98389776
FR29,1,180,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR29,2,250,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR30,1,280,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR30,2,190,26,50,,,,,,,,0.26,0.0676,1.0676,1.033247308,48.39112534,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.39112534
FR31,1,240,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR31,2,150,9,50,,,,,,,,0.09,0.0081,1.0081,1.004041832,49.79872194,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.79872194
FR32,1,40,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR32,2,250,0,40,8,10,,,,,,0,0,1,1,40,,0.08,0.0064,1.0064,1.003194896,9.968152785,,0,0,1,1,0,,0,0,1,1,0,,49.96815279
FR33,1,250,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR33,2,340,0,23,14,14,37,13,,,,0,0,1,1,23,,0.14,0.0196,1.0196,1.009752445,13.86478445,,0.37,0.1369,1.1369,1.066255129,12.19220395,,0,0,1,1,0,,49.05698841
FR34,1,310,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR34,2,220,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR35,1,130,0,18,11,32,,,,,,0,0,1,1,18,,0.11,0.0121,1.0121,1.006031809,31.80813939,,0,0,1,1,0,,0,0,1,1,0,,49.80813939
FR35,2,40,5,33,0,17,,,,,,0.05,0.0025,1.0025,1.00124922,32.95882718,,0,0,1,1,17,,0,0,1,1,0,,0,0,1,1,0,,49.95882718
FR36,1,90,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR36,2,0,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR37,1,40,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR37,2,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR38,1,310,7,50,,,,,,,,0.07,0.0049,1.0049,1.002447006,49.87794836,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.87794836
FR38,2,40,18,50,,,,,,,,0.18,0.0324,1.0324,1.016070864,49.2091662,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.2091662
FR39,1,280,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR39,2,10,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR40,1,350,34,50,,,,,,,,0.34,0.1156,1.1156,1.056219674,47.33863724,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.33863724
FR40,2,260,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR41,1,40,2,50,,,,,,,,0.02,0.0004,1.0004,1.00019998,49.990003,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.990003
FR41,2,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR42,1,40,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR42,2,130,15,50,,,,,,,,0.15,0.0225,1.0225,1.011187421,49.44681764,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.44681764
FR43,1,200,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR43,2,290,15,50,,,,,,,,0.15,0.0225,1.0225,1.011187421,49.44681764,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.44681764
FR44,1,230,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR44,2,140,12,50,,,,,,,,0.12,0.0144,1.0144,1.007174265,49.64384192,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.64384192
FR45,1,20,32,50,,,,,,,,0.32,0.1024,1.1024,1.04995238,47.62120736,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.62120736
FR45,2,290,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR46,1,230,5,50,,,,,,,,0.05,0.0025,1.0025,1.00124922,49.93761694,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.93761694
FR46,2,320,5,45,85,5,,,,,,0.05,0.0025,1.0025,1.00124922,44.94385525,,0.85,0.7225,1.7225,1.312440475,3.809696589,,0,0,1,1,0,,0,0,1,1,0,,48.75355184
